tier,file,upstream,new_upstream,upstream_action,our_lines,line_overlap,id_overlap
DERIVED-HIGH,src/renderer/pages/conversation/GroupedHistory/utils/sortOrderHelpers.ts,src/renderer/pages/conversation/GroupedHistory/utils/sortOrderHelpers.ts,packages/desktop/src/renderer/pages/conversation/GroupedHistory/utils/sortOrderHelpers.ts,MOVED-ONLY,26,88.5,100.0
DERIVED-HIGH,src/process/agent/nanobot/NanobotConnection.ts,src/process/agent/nanobot/NanobotConnection.ts,src/process/agent/nanobot/NanobotConnection.ts,DELETED-OR-UNTRACKED-MOVE,43,88.4,96.3
DERIVED-HIGH,src/process/channels/plugins/weixin/WeixinTyping.ts,src/process/channels/plugins/weixin/WeixinTyping.ts,src/process/channels/plugins/weixin/WeixinTyping.ts,DELETED-OR-UNTRACKED-MOVE,103,88.3,100.0
DERIVED-HIGH,tests/unit/useGeminiMessage.dom.test.ts,tests/unit/useGeminiMessage.dom.test.ts,tests/unit/useGeminiMessage.dom.test.ts,DELETED-OR-UNTRACKED-MOVE,102,88.2,100.0
DERIVED-HIGH,src/renderer/pages/conversation/Messages/components/MessageAgentStatus.tsx,src/renderer/pages/conversation/Messages/components/MessageAgentStatus.tsx,packages/desktop/src/renderer/pages/conversation/Messages/components/MessageAgentStatus.tsx,MOVED+EDITED,34,88.2,97.4
DERIVED-HIGH,tests/unit/OfficeDocViewer.dom.test.tsx,tests/unit/OfficeDocViewer.dom.test.tsx,tests/unit/previews/OfficeDocViewer.dom.test.tsx,MOVED+REWRITTEN,59,88.1,100.0
DERIVED-HIGH,tests/unit/renderer/ConversationRow.dom.test.tsx,tests/unit/renderer/ConversationRow.dom.test.tsx,tests/unit/renderer/ConversationRow.dom.test.tsx,DELETED-OR-UNTRACKED-MOVE,59,88.1,100.0
DERIVED-HIGH,src/process/agent/gemini/cli/atCommandProcessor.ts,src/process/agent/gemini/cli/atCommandProcessor.ts,src/process/agent/gemini/cli/atCommandProcessor.ts,DELETED-OR-UNTRACKED-MOVE,226,88.1,100.0
DERIVED-HIGH,src/process/webserver/middleware/csrfClient.ts,src/process/webserver/middleware/csrfClient.ts,src/process/webserver/middleware/csrfClient.ts,DELETED-OR-UNTRACKED-MOVE,50,88.0,100.0
DERIVED-HIGH,src/renderer/pages/conversation/platforms/nanobot/NanobotSendBox.tsx,src/renderer/pages/conversation/platforms/nanobot/NanobotSendBox.tsx,src/renderer/pages/conversation/platforms/nanobot/NanobotSendBox.tsx,DELETED-OR-UNTRACKED-MOVE,192,88.0,96.3
