tier,band,file,upstream,our_lines,upstream_lines,ferrox_lines,line_overlap,id_overlap
AUTO,identical,src/renderer/pages/guid/components/GuidSkeleton.tsx,src/renderer/pages/guid/components/GuidSkeleton.tsx,14,14,0,100.0,100.0
AUTO,identical,src/renderer/pages/guid/hooks/useAgentAvailability.ts,src/renderer/pages/guid/hooks/useAgentAvailability.ts,23,23,0,100.0,100.0
AUTO,identical,src/renderer/pages/cron/index.ts,src/renderer/pages/cron/index.ts,3,3,0,100.0,100.0
AUTO,identical,src/renderer/pages/cron/ScheduledTasksPage/CronStatusTag.tsx,src/renderer/pages/cron/ScheduledTasksPage/CronStatusTag.tsx,19,19,0,100.0,100.0
AUTO,identical,src/renderer/pages/conversation/index.tsx,src/renderer/pages/conversation/index.tsx,30,30,0,100.0,100.0
AUTO,identical,src/renderer/pages/conversation/platforms/assertBridgeSuccess.ts,src/renderer/pages/conversation/platforms/assertBridgeSuccess.ts,4,4,0,100.0,100.0
AUTO,identical,src/renderer/pages/conversation/platforms/gemini/useGeminiQuotaFallback.ts,src/renderer/pages/conversation/platforms/gemini/useGeminiQuotaFallback.ts,39,39,0,100.0,100.0
AUTO,identical,src/renderer/pages/conversation/platforms/gemini/useGeminiModelSelection.ts,src/renderer/pages/conversation/platforms/gemini/useGeminiModelSelection.ts,31,31,0,100.0,100.0
AUTO,identical,src/renderer/pages/conversation/platforms/openclaw/OpenClawChat.tsx,src/renderer/pages/conversation/platforms/openclaw/OpenClawChat.tsx,22,22,0,100.0,100.0
AUTO,identical,src/renderer/pages/conversation/platforms/nanobot/NanobotChat.tsx,src/renderer/pages/conversation/platforms/nanobot/NanobotChat.tsx,23,23,0,100.0,100.0
AUTO,identical,src/renderer/pages/conversation/platforms/remote/RemoteChat.tsx,src/renderer/pages/conversation/platforms/remote/RemoteChat.tsx,22,22,0,100.0,100.0
AUTO,identical,src/renderer/pages/conversation/Messages/types.ts,src/renderer/pages/conversation/Messages/types.ts,2,2,0,100.0,100.0
