tier,file,upstream,our_lines,line_overlap,id_overlap,aionui_notice
DERIVED-HIGH,src/renderer/hooks/chat/useSendBoxFiles.ts,packages/desktop/src/renderer/hooks/chat/useSendBoxFiles.ts,35,82.9,93.8,False
DERIVED-HIGH,src/renderer/pages/conversation/GroupedHistory/hooks/useBatchSelection.ts,packages/desktop/src/renderer/pages/conversation/GroupedHistory/hooks/useBatchSelection.ts,29,82.8,94.4,False
DERIVED-HIGH,src/renderer/pages/cron/components/CronJobIndicator.tsx,packages/desktop/src/renderer/pages/cron/components/CronJobIndicator.tsx,29,82.8,93.5,False
DERIVED-HIGH,src/renderer/pages/conversation/components/ChatLayout/WorkspacePanelHeader.tsx,packages/desktop/src/renderer/pages/conversation/components/ChatLayout/WorkspacePanelHeader.tsx,29,82.8,91.7,False
DERIVED-HIGH,src/renderer/components/media/WebviewHost.tsx,packages/desktop/src/renderer/components/media/WebviewHost.tsx,271,82.3,93.2,False
DERIVED-HIGH,src/renderer/components/chat/ThoughtDisplay.tsx,packages/desktop/src/renderer/components/chat/ThoughtDisplay.tsx,45,82.2,100.0,False
DERIVED-HIGH,src/renderer/pages/conversation/Messages/components/SkillSuggestCard.tsx,packages/desktop/src/renderer/pages/conversation/Messages/components/SkillSuggestCard.tsx,45,82.2,93.2,False
DERIVED-HIGH,src/renderer/components/settings/DirectorySelectionModal.tsx,packages/desktop/src/renderer/components/settings/DirectorySelectionModal.tsx,72,81.9,95.7,False
DERIVED-HIGH,src/renderer/components/layout/WindowControls.tsx,packages/desktop/src/renderer/components/layout/WindowControls.tsx,33,81.8,97.0,False
DERIVED-HIGH,src/renderer/utils/workspace/workspaceHistory.ts,packages/desktop/src/renderer/utils/workspace/workspaceHistory.ts,11,81.8,92.3,False
DERIVED-HIGH,src/renderer/hooks/context/ConversationHistoryContext.tsx,packages/desktop/src/renderer/hooks/context/ConversationHistoryContext.tsx,22,81.8,92.0,False
DERIVED-HIGH,src/renderer/components/base/FileChangesPanel.tsx,packages/desktop/src/renderer/components/base/FileChangesPanel.tsx,43,81.4,93.8,False
DERIVED-HIGH,src/renderer/pages/conversation/components/ConversationTitleMinimap/useMinimapPanel.ts,packages/desktop/src/renderer/pages/conversation/components/ConversationTitleMinimap/useMinimapPanel.ts,183,81.4,91.3,False
DERIVED-HIGH,src/renderer/components/media/FilePreview.tsx,packages/desktop/src/renderer/components/media/FilePreview.tsx,64,81.2,86.7,False
DERIVED-HIGH,src/common/adapter/main.ts,packages/desktop/src/common/adapter/main.ts,37,81.1,81.8,False
DERIVED-HIGH,src/renderer/pages/conversation/components/SkillRuleGenerator.tsx,packages/desktop/src/renderer/pages/conversation/components/SkillRuleGenerator.tsx,134,80.6,91.5,False
DERIVED-HIGH,src/renderer/components/settings/SettingsModal/contents/SystemModalContent/DevSettings.tsx,packages/desktop/src/renderer/components/settings/SettingsModal/contents/SystemModalContent/DevSettings.tsx,112,80.4,98.2,False
DERIVED-HIGH,src/renderer/pages/conversation/Messages/components/MessageCronBadge.tsx,packages/desktop/src/renderer/pages/conversation/Messages/components/MessageCronBadge.tsx,15,80.0,91.7,False
DERIVED-HIGH,src/common/config/appEnv.ts,packages/desktop/src/common/config/appEnv.ts,5,80.0,87.5,False
DERIVED-HIGH,src/common/api/index.ts,packages/desktop/src/common/api/index.ts,5,80.0,83.3,False
DERIVED-HIGH,src/process/services/database/drivers/ISqliteDriver.ts,packages/desktop/src/process/services/database/drivers/ISqliteDriver.ts,10,80.0,75.0,False
